date,hk_stars,precommit_stars,prek_stars,lefthook_stars
2023-01-01,0,9193,0,2488
2023-01-02,0,9200,0,2490
2023-01-03,0,9209,0,2491
2023-01-04,0,9220,0,2493
2023-01-05,0,9223,0,2496
2023-01-06,0,9231,0,2497
2023-01-07,0,9239,0,2497
2023-01-08,0,9246,0,2497
2023-01-09,0,9255,0,2500
2023-01-10,0,9260,0,2501
2023-01-11,0,9267,0,2507
2023-01-12,0,9274,0,2510
2023-01-13,0,9281,0,2513
2023-01-14,0,9282,0,2513
2023-01-15,0,9288,0,2513
2023-01-16,0,9290,0,2517
2023-01-17,0,9296,0,2518
2023-01-18,0,9302,0,2521
2023-01-19,0,9309,0,2526
2023-01-20,0,9319,0,2527
2023-01-21,0,9324,0,2530
2023-01-22,0,9330,0,2531
2023-01-23,0,9332,0,2534
2023-01-24,0,9341,0,2538
2023-01-25,0,9354,0,2540
2023-01-26,0,9365,0,2549
2023-01-27,0,9371,0,2551
2023-01-28,0,9375,0,2553
2023-01-29,0,9383,0,2557
2023-01-30,0,9394,0,2560
2023-01-31,0,9398,0,2561
2023-02-01,0,9404,0,2564
2023-02-02,0,9416,0,2566
2023-02-03,0,9423,0,2571
2023-02-04,0,9430,0,2572
2023-02-05,0,9436,0,2572
2023-02-06,0,9445,0,2572
2023-02-07,0,9451,0,2574
2023-02-08,0,9460,0,2578
2023-02-09,0,9468,0,2578
2023-02-10,0,9480,0,2580
2023-02-11,0,9485,0,2582
2023-02-12,0,9494,0,2584
2023-02-13,0,9504,0,2587
2023-02-14,0,9512,0,2592
2023-02-15,0,9521,0,2594
2023-02-16,0,9525,0,2600
2023-02-17,0,9535,0,2602
2023-02-18,0,9536,0,2603
2023-02-19,0,9539,0,2605
2023-02-20,0,9550,0,2608
2023-02-21,0,9555,0,2610
2023-02-22,0,9565,0,2613
2023-02-23,0,9575,0,2616
2023-02-24,0,9582,0,2621
2023-02-25,0,9589,0,2630
2023-02-26,0,9596,0,2635
2023-02-27,0,9604,0,2646
2023-02-28,0,9609,0,2657
2023-03-01,0,9619,0,2667
2023-03-02,0,9630,0,2672
2023-03-03,0,9641,0,2674
2023-03-04,0,9648,0,2674
2023-03-05,0,9655,0,2680
2023-03-06,0,9661,0,2688
2023-03-07,0,9676,0,2690
2023-03-08,0,9684,0,2697
2023-03-09,0,9687,0,2701
2023-03-10,0,9695,0,2702
2023-03-11,0,9700,0,2704
2023-03-12,0,9706,0,2705
2023-03-13,0,9711,0,2708
2023-03-14,0,9716,0,2709
2023-03-15,0,9724,0,2713
2023-03-16,0,9733,0,2715
2023-03-17,0,9744,0,2716
2023-03-18,0,9753,0,2719
2023-03-19,0,9758,0,2719
2023-03-20,0,9764,0,2723
2023-03-21,0,9769,0,2724
2023-03-22,0,9779,0,2727
2023-03-23,0,9787,0,2731
2023-03-24,0,9791,0,2734
2023-03-25,0,9795,0,2739
2023-03-26,0,9801,0,2740
2023-03-27,0,9807,0,2742
2023-03-28,0,9811,0,2744
2023-03-29,0,9815,0,2744
2023-03-30,0,9825,0,2747
2023-03-31,0,9832,0,2748
2023-04-01,0,9835,0,2748
2023-04-02,0,9842,0,2748
2023-04-03,0,9849,0,2750
2023-04-04,0,9855,0,2751
2023-04-05,0,9862,0,2755
2023-04-06,0,9868,0,2757
2023-04-07,0,9870,0,2758
2023-04-08,0,9873,0,2761
2023-04-09,0,9875,0,2761
2023-04-10,0,9879,0,2761
2023-04-11,0,9885,0,2761
2023-04-12,0,9892,0,2767
2023-04-13,0,9905,0,2768
2023-04-14,0,9914,0,2768
2023-04-15,0,9920,0,2769
2023-04-16,0,9920,0,2771
2023-04-17,0,9924,0,2775
2023-04-18,0,9928,0,2776
2023-04-19,0,9936,0,2777
2023-04-20,0,9948,0,2779
2023-04-21,0,9952,0,2780
2023-04-22,0,9957,0,2783
2023-04-23,0,9964,0,2784
2023-04-24,0,9971,0,2785
2023-04-25,0,9976,0,2787
2023-04-26,0,9988,0,2789
2023-04-27,0,9999,0,2792
2023-04-28,0,10005,0,2794
2023-04-29,0,10008,0,2794
2023-04-30,0,10014,0,2797
2023-05-01,0,10019,0,2802
2023-05-02,0,10029,0,2807
2023-05-03,0,10035,0,2808
2023-05-04,0,10048,0,2811
2023-05-05,0,10057,0,2814
2023-05-06,0,10060,0,2817
2023-05-07,0,10062,0,2818
2023-05-08,0,10067,0,2818
2023-05-09,0,10072,0,2820
2023-05-10,0,10083,0,2829
2023-05-11,0,10090,0,2833
2023-05-12,0,10094,0,2835
2023-05-13,0,10097,0,2835
2023-05-14,0,10102,0,2837
2023-05-15,0,10105,0,2838
2023-05-16,0,10111,0,2842
2023-05-17,0,10117,0,2845
2023-05-18,0,10121,0,2846
2023-05-19,0,10124,0,2849
2023-05-20,0,10126,0,2851
2023-05-21,0,10130,0,2851
2023-05-22,0,10136,0,2851
2023-05-23,0,10143,0,2855
2023-05-24,0,10150,0,2856
2023-05-25,0,10155,0,2862
2023-05-26,0,10160,0,2862
2023-05-27,0,10163,0,2862
2023-05-28,0,10166,0,2865
2023-05-29,0,10171,0,2867
2023-05-30,0,10176,0,2876
2023-05-31,0,10187,0,2880
2023-06-01,0,10190,0,2883
2023-06-02,0,10197,0,2884
2023-06-03,0,10200,0,2886
2023-06-04,0,10205,0,2887
2023-06-05,0,10213,0,2890
2023-06-06,0,10216,0,2892
2023-06-07,0,10222,0,2895
2023-06-08,0,10228,0,2904
2023-06-09,0,10235,0,2907
2023-06-10,0,10237,0,2908
2023-06-11,0,10241,0,2909
2023-06-12,0,10246,0,2910
2023-06-13,0,10253,0,2911
2023-06-14,0,10256,0,2915
2023-06-15,0,10265,0,2921
2023-06-16,0,10267,0,2925
2023-06-17,0,10270,0,2928
2023-06-18,0,10274,0,2929
2023-06-19,0,10278,0,2931
2023-06-20,0,10282,0,2935
2023-06-21,0,10284,0,2936
2023-06-22,0,10287,0,2939
2023-06-23,0,10290,0,2941
2023-06-24,0,10291,0,2942
2023-06-25,0,10296,0,2945
2023-06-26,0,10305,0,2951
2023-06-27,0,10310,0,2953
2023-06-28,0,10312,0,2953
2023-06-29,0,10318,0,2955
2023-06-30,0,10325,0,2955
2023-07-01,0,10329,0,2955
2023-07-02,0,10331,0,2957
2023-07-03,0,10336,0,2963
2023-07-04,0,10343,0,2968
2023-07-05,0,10348,0,2973
2023-07-06,0,10351,0,2979
2023-07-07,0,10357,0,2981
2023-07-08,0,10360,0,2981
2023-07-09,0,10363,0,2981
2023-07-10,0,10367,0,2987
2023-07-11,0,10375,0,2991
2023-07-12,0,10382,0,2995
2023-07-13,0,10389,0,2997
2023-07-14,0,10393,0,2999
2023-07-15,0,10396,0,3000
2023-07-16,0,10396,0,3001
2023-07-17,0,10405,0,3004
2023-07-18,0,10406,0,3005
2023-07-19,0,10411,0,3007
2023-07-20,0,10414,0,3008
2023-07-21,0,10416,0,3012
2023-07-22,0,10422,0,3016
2023-07-23,0,10428,0,3019
2023-07-24,0,10431,0,3020
2023-07-25,0,10437,0,3025
2023-07-26,0,10450,0,3026
2023-07-27,0,10457,0,3030
2023-07-28,0,10463,0,3034
2023-07-29,0,10467,0,3035
2023-07-30,0,10470,0,3037
2023-07-31,0,10476,0,3039
2023-08-01,0,10488,0,3043
2023-08-02,0,10493,0,3048
2023-08-03,0,10499,0,3052
2023-08-04,0,10501,0,3054
2023-08-05,0,10506,0,3054
2023-08-06,0,10507,0,3054
2023-08-07,0,10512,0,3056
2023-08-08,0,10516,0,3059
2023-08-09,0,10519,0,3061
2023-08-10,0,10522,0,3061
2023-08-11,0,10527,0,3067
2023-08-12,0,10529,0,3071
2023-08-13,0,10531,0,3072
2023-08-14,0,10537,0,3073
2023-08-15,0,10543,0,3076
2023-08-16,0,10549,0,3079
2023-08-17,0,10555,0,3079
2023-08-18,0,10569,0,3082
2023-08-19,0,10572,0,3082
2023-08-20,0,10580,0,3084
2023-08-21,0,10587,0,3090
2023-08-22,0,10589,0,3091
2023-08-23,0,10592,0,3099
2023-08-24,0,10595,0,3101
2023-08-25,0,10598,0,3104
2023-08-26,0,10604,0,3104
2023-08-27,0,10609,0,3105
2023-08-28,0,10611,0,3106
2023-08-29,0,10615,0,3107
2023-08-30,0,10618,0,3110
2023-08-31,0,10625,0,3112
2023-09-01,0,10627,0,3118
2023-09-02,0,10635,0,3122
2023-09-03,0,10638,0,3123
2023-09-04,0,10647,0,3125
2023-09-05,0,10652,0,3126
2023-09-06,0,10657,0,3129
2023-09-07,0,10662,0,3133
2023-09-08,0,10669,0,3138
2023-09-09,0,10673,0,3140
2023-09-10,0,10678,0,3142
2023-09-11,0,10685,0,3145
2023-09-12,0,10692,0,3149
2023-09-13,0,10695,0,3152
2023-09-14,0,10705,0,3153
2023-09-15,0,10713,0,3157
2023-09-16,0,10716,0,3157
2023-09-17,0,10722,0,3158
2023-09-18,0,10725,0,3159
2023-09-19,0,10728,0,3165
2023-09-20,0,10734,0,3167
2023-09-21,0,10740,0,3170
2023-09-22,0,10741,0,3170
2023-09-23,0,10745,0,3174
2023-09-24,0,10747,0,3175
2023-09-25,0,10750,0,3176
2023-09-26,0,10756,0,3177
2023-09-27,0,10760,0,3182
2023-09-28,0,10765,0,3185
2023-09-29,0,10776,0,3186
2023-09-30,0,10781,0,3187
2023-10-01,0,10783,0,3187
2023-10-02,0,10785,0,3190
2023-10-03,0,10788,0,3193
2023-10-04,0,10792,0,3195
2023-10-05,0,10795,0,3195
2023-10-06,0,10798,0,3201
2023-10-07,0,10802,0,3203
2023-10-08,0,10808,0,3206
2023-10-09,0,10818,0,3207
2023-10-10,0,10820,0,3208
2023-10-11,0,10822,0,3210
2023-10-12,0,10824,0,3213
2023-10-13,0,10830,0,3214
2023-10-14,0,10835,0,3216
2023-10-15,0,10837,0,3216
2023-10-16,0,10840,0,3216
2023-10-17,0,10845,0,3218
2023-10-18,0,10852,0,3222
2023-10-19,0,10859,0,3225
2023-10-20,0,10864,0,3226
2023-10-21,0,10867,0,3230
2023-10-22,0,10869,0,3232
2023-10-23,0,10874,0,3234
2023-10-24,0,10881,0,3236
2023-10-25,0,10885,0,3239
2023-10-26,0,10888,0,3241
2023-10-27,0,10892,0,3241
2023-10-28,0,10893,0,3241
2023-10-29,0,10896,0,3242
2023-10-30,0,10905,0,3243
2023-10-31,0,10911,0,3245
2023-11-01,0,10918,0,3245
2023-11-02,0,10922,0,3247
2023-11-03,0,10924,0,3247
2023-11-04,0,10925,0,3247
2023-11-05,0,10931,0,3249
2023-11-06,0,10941,0,3253
2023-11-07,0,10948,0,3255
2023-11-08,0,10952,0,3255
2023-11-09,0,10957,0,3258
2023-11-10,0,10960,0,3259
2023-11-11,0,10962,0,3261
2023-11-12,0,10969,0,3262
2023-11-13,0,10974,0,3263
2023-11-14,0,10977,0,3266
2023-11-15,0,10979,0,3267
2023-11-16,0,10985,0,3267
2023-11-17,0,10990,0,3269
2023-11-18,0,10991,0,3271
2023-11-19,0,10993,0,3273
2023-11-20,0,10998,0,3275
2023-11-21,0,11001,0,3276
2023-11-22,0,11011,0,3281
2023-11-23,0,11016,0,3285
2023-11-24,0,11023,0,3288
2023-11-25,0,11026,0,3291
2023-11-26,0,11029,0,3293
2023-11-27,0,11033,0,3298
2023-11-28,0,11034,0,3302
2023-11-29,0,11039,0,3305
2023-11-30,0,11047,0,3306
2023-12-01,0,11050,0,3306
2023-12-02,0,11058,0,3307
2023-12-03,0,11064,0,3309
2023-12-04,0,11071,0,3312
2023-12-05,0,11074,0,3314
2023-12-06,0,11083,0,3315
2023-12-07,0,11086,0,3317
2023-12-08,0,11092,0,3319
2023-12-09,0,11092,0,3320
2023-12-10,0,11095,0,3321
2023-12-11,0,11100,0,3322
2023-12-12,0,11105,0,3323
2023-12-13,0,11107,0,3326
2023-12-14,0,11111,0,3331
2023-12-15,0,11116,0,3335
2023-12-16,0,11117,0,3335
2023-12-17,0,11119,0,3336
2023-12-18,0,11124,0,3341
2023-12-19,0,11128,0,3346
2023-12-20,0,11133,0,3350
2023-12-21,0,11135,0,3354
2023-12-22,0,11141,0,3359
2023-12-23,0,11144,0,3360
2023-12-24,0,11148,0,3360
2023-12-25,0,11152,0,3360
2023-12-26,0,11161,0,3370
2023-12-27,0,11162,0,3377
2023-12-28,0,11164,0,3382
2023-12-29,0,11168,0,3385
2023-12-30,0,11172,0,3386
2023-12-31,0,11174,0,3386
2024-01-01,0,11178,0,3387
2024-01-02,0,11181,0,3388
2024-01-03,0,11185,0,3392
2024-01-04,0,11193,0,3395
2024-01-05,0,11203,0,3396
2024-01-06,0,11210,0,3398
2024-01-07,0,11216,0,3404
2024-01-08,0,11222,0,3410
2024-01-09,0,11224,0,3416
2024-01-10,0,11232,0,3420
2024-01-11,0,11238,0,3425
2024-01-12,0,11244,0,3436
2024-01-13,0,11250,0,3443
2024-01-14,0,11255,0,3451
2024-01-15,0,11261,0,3455
2024-01-16,0,11269,0,3456
2024-01-17,0,11276,0,3458
2024-01-18,0,11281,0,3468
2024-01-19,0,11283,0,3470
2024-01-20,0,11288,0,3474
2024-01-21,0,11293,0,3479
2024-01-22,0,11300,0,3488
2024-01-23,0,11307,0,3494
2024-01-24,0,11314,0,3501
2024-01-25,0,11320,0,3504
2024-01-26,0,11325,0,3512
2024-01-27,0,11333,0,3515
2024-01-28,0,11339,0,3517
2024-01-29,0,11342,0,3521
2024-01-30,0,11348,0,3524
2024-01-31,0,11356,0,3528
2024-02-01,0,11363,0,3536
2024-02-02,0,11371,0,3544
2024-02-03,0,11376,0,3546
2024-02-04,0,11382,0,3548
2024-02-05,0,11387,0,3555
2024-02-06,0,11392,0,3558
2024-02-07,0,11398,0,3562
2024-02-08,0,11405,0,3571
2024-02-09,0,11410,0,3575
2024-02-10,0,11414,0,3580
2024-02-11,0,11417,0,3582
2024-02-12,0,11423,0,3588
2024-02-13,0,11428,0,3591
2024-02-14,0,11434,0,3593
2024-02-15,0,11442,0,3596
2024-02-16,0,11449,0,3599
2024-02-17,0,11458,0,3602
2024-02-18,0,11463,0,3605
2024-02-19,0,11471,0,3616
2024-02-20,0,11478,0,3624
2024-02-21,0,11484,0,3625
2024-02-22,0,11488,0,3630
2024-02-23,0,11499,0,3633
2024-02-24,0,11502,0,3636
2024-02-25,0,11504,0,3637
2024-02-26,0,11510,0,3639
2024-02-27,0,11515,0,3646
2024-02-28,0,11524,0,3651
2024-02-29,0,11538,0,3655
2024-03-01,0,11548,0,3658
2024-03-02,0,11553,0,3665
2024-03-03,0,11556,0,3668
2024-03-04,0,11566,0,3672
2024-03-05,0,11571,0,3674
2024-03-06,0,11576,0,3679
2024-03-07,0,11582,0,3686
2024-03-08,0,11587,0,3689
2024-03-09,0,11588,0,3696
2024-03-10,0,11589,0,3698
2024-03-11,0,11597,0,3701
2024-03-12,0,11600,0,3702
2024-03-13,0,11609,0,3705
2024-03-14,0,11618,0,3710
2024-03-15,0,11624,0,3712
2024-03-16,0,11631,0,3721
2024-03-17,0,11635,0,3724
2024-03-18,0,11641,0,3727
2024-03-19,0,11647,0,3733
2024-03-20,0,11652,0,3734
2024-03-21,0,11659,0,3742
2024-03-22,0,11675,0,3745
2024-03-23,0,11683,0,3747
2024-03-24,0,11689,0,3748
2024-03-25,0,11697,0,3752
2024-03-26,0,11704,0,3756
2024-03-27,0,11708,0,3758
2024-03-28,0,11714,0,3760
2024-03-29,0,11723,0,3767
2024-03-30,0,11731,0,3769
2024-03-31,0,11733,0,3772
2024-04-01,0,11739,0,3777
2024-04-02,0,11746,0,3781
2024-04-03,0,11755,0,3786
2024-04-04,0,11763,0,3790
2024-04-05,0,11770,0,3797
2024-04-06,0,11771,0,3798
2024-04-07,0,11776,0,3799
2024-04-08,0,11778,0,3800
2024-04-09,0,11785,0,3805
2024-04-10,0,11788,0,3807
2024-04-11,0,11793,0,3810
2024-04-12,0,11798,0,3814
2024-04-13,0,11803,0,3817
2024-04-14,0,11811,0,3823
2024-04-15,0,11814,0,3826
2024-04-16,0,11819,0,3832
2024-04-17,0,11830,0,3834
2024-04-18,0,11836,0,3839
2024-04-19,0,11846,0,3844
2024-04-20,0,11854,0,3847
2024-04-21,0,11857,0,3848
2024-04-22,0,11862,0,3852
2024-04-23,0,11866,0,3856
2024-04-24,0,11873,0,3858
2024-04-25,0,11877,0,3861
2024-04-26,0,11884,0,3868
2024-04-27,0,11891,0,3870
2024-04-28,0,11892,0,3872
2024-04-29,0,11898,0,3876
2024-04-30,0,11903,0,3881
2024-05-01,0,11906,0,3886
2024-05-02,0,11911,0,3893
2024-05-03,0,11919,0,3903
2024-05-04,0,11922,0,3908
2024-05-05,0,11928,0,3914
2024-05-06,0,11935,0,3918
2024-05-07,0,11946,0,3923
2024-05-08,0,11948,0,3926
2024-05-09,0,11954,0,3930
2024-05-10,0,11959,0,3932
2024-05-11,0,11961,0,3936
2024-05-12,0,11968,0,3936
2024-05-13,0,11974,0,3940
2024-05-14,0,11977,0,3947
2024-05-15,0,11980,0,3952
2024-05-16,0,11985,0,3958
2024-05-17,0,11994,0,3961
2024-05-18,0,11996,0,3963
2024-05-19,0,11997,0,3963
2024-05-20,0,12003,0,3966
2024-05-21,0,12007,0,3980
2024-05-22,0,12015,0,3982
2024-05-23,0,12019,0,3985
2024-05-24,0,12021,0,3990
2024-05-25,0,12021,0,3992
2024-05-26,0,12025,0,3994
2024-05-27,0,12030,0,4003
2024-05-28,0,12035,0,4006
2024-05-29,0,12035,0,4010
2024-05-30,0,12041,0,4014
2024-05-31,0,12050,0,4094
2024-06-01,0,12052,0,4116
2024-06-02,0,12054,0,4145
2024-06-03,0,12064,0,4174
2024-06-04,0,12072,0,4195
2024-06-05,0,12073,0,4205
2024-06-06,0,12080,0,4210
2024-06-07,0,12085,0,4225
2024-06-08,0,12087,0,4231
2024-06-09,0,12088,0,4235
2024-06-10,0,12092,0,4242
2024-06-11,0,12100,0,4246
2024-06-12,0,12108,0,4253
2024-06-13,0,12113,0,4262
2024-06-14,0,12118,0,4267
2024-06-15,0,12125,0,4269
2024-06-16,0,12130,0,4270
